id,philosophy,agency,logic,focus,outlook,time,meta,social,core_keywords,positive_keywords,negative_keywords,summary
1,스토아주의,8,9,5,6,5,4,7,"로고스, 통제 이원론, 미덕","인내, 평정심, 수용, 이성","불평, 격정, 불안, 외부 평판",이성적 통제와 내면의 평정을 통해 운명을 수용함
2,에피쿠로스주의,6,7,2,7,5,1,4,"아타락시아, 아포니아, 원자론","소박함, 우정, 평안, 고통 회피","야망, 정치, 공포, 미신",고통의 부재와 소소한 정신적 즐거움을 추구함
3,합리주의,7,10,5,7,5,8,4,"연역법, 본유 관념, 이성","명석, 판명, 확실성, 논리","감각, 편견, 오류, 우연",이성적 추론을 통해 확실한 지식의 토대를 구축함
4,경험주의,6,9,8,6,7,2,5,"귀납법, 백지설, 감각 경험","증거, 실험, 실증, 관찰","추상, 독단, 가설, 형이상학",관찰과 경험을 통해 지식의 유효성을 검증함
5,칸트주의,7,10,6,6,5,5,9,"정언명령, 의무론, 자율성","원칙, 규칙, 보편성, 양심","결과, 편법, 감정, 이익",보편적 도덕 법칙에 따른 의무를 중시함
6,공리주의,5,9,10,7,9,1,6,"최대 다수 최대 행복, 효용","결과, 효율, 다수, 혜택","의도, 절대 규칙, 개인 희생",최대 다수의 최대 행복을 위한 결과를 추구함
7,실존주의,10,5,1,4,6,2,2,"실존, 자유, 책임, 기투","선택, 진정성, 주체성, 고뇌","본질, 운명, 순응, 집단",선택과 책임을 통해 스스로 삶의 의미를 창조함
8,허무주의,2,8,0,1,5,0,1,"무의미, 가치 전도, 심연","무가치, 환상, 냉소, 침묵","목적, 진리, 믿음, 도덕",절대적 가치를 부정하며 삶의 무의미함을 관조함
9,실용주의,8,8,6,8,8,3,5,"도구주의, 가류주의, 유용성","해결, 작동, 실험, 변화","절대 진리, 교조, 고정불변",실제적 유용성과 효과를 진리의 기준으로 삼음
10,객관주의,9,10,0,8,7,0,3,"합리적 이기심, 객관적 실재","성취, 자존감, 거래, 생산","희생, 이타심, 복제, 규제",합리적 이기심과 개인의 성취를 최고의 가치로 봄
11,구조주의,3,9,7,5,5,9,8,"구조, 체계, 상호텍스트성","분석, 객관성, 보편성, 관계","주체, 자유, 우연, 창조",개인의 의지보다 사회적/언어적 구조를 중시함
12,낭만주의,7,2,3,8,4,9,2,"직관, 숭고, 자연 회귀","감성, 영감, 열정, 고독","이성, 분석, 문명, 계산",감정과 직관을 통해 자연 속 신성을 추구함
